epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.498525381088257,2.9944119453430176,0.9962245225906372,0.8658172488212585,0.8392365574836731,0.7920403480529785,00:17
1,2.732992649078369,2.9225075244903564,0.9962162375450134,0.8749607801437378,0.8309062719345093,0.800290584564209,00:14
2,3.3091464042663574,2.924384355545044,0.9959185123443604,0.8780415654182434,0.8342157006263733,0.7964140176773071,00:14
3,2.8235549926757812,2.9147708415985107,0.9963369369506836,0.8851563930511475,0.8245820999145508,0.8073359727859497,00:14
4,2.629509210586548,2.659057140350342,0.9965052604675293,0.8922489881515503,0.8533061146736145,0.8186167478561401,00:15
5,2.503910779953003,2.74186110496521,0.9962805509567261,0.8878611326217651,0.8444544672966003,0.8136211037635803,00:15
6,2.496763229370117,2.778285503387451,0.9963164925575256,0.8853873610496521,0.8433922529220581,0.8115408420562744,00:15
7,2.604123830795288,2.8513667583465576,0.9962250590324402,0.8720386624336243,0.8453851938247681,0.7989935874938965,00:15
8,2.4833998680114746,2.7566685676574707,0.996214747428894,0.8779863119125366,0.8457796573638916,0.8056447505950928,00:15
9,2.505716562271118,2.8216793537139893,0.9961978793144226,0.8660838007926941,0.8498061299324036,0.7937617897987366,00:15
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.324594497680664,2.6896848678588867,0.9963669180870056,0.8807758092880249,0.851032018661499,0.8092484474182129,00:14
1,2.5221762657165527,2.8326873779296875,0.9962348937988281,0.8756395578384399,0.8385596871376038,0.8035476803779602,00:14
2,2.5692203044891357,2.742668390274048,0.9962858557701111,0.8764945268630981,0.8497347831726074,0.8035871386528015,00:15
3,2.5715856552124023,3.5984854698181152,0.9946691393852234,0.8279925584793091,0.7959014177322388,0.7534762620925903,00:15
4,2.930467367172241,3.241241931915283,0.9958519339561462,0.8548924922943115,0.8276468515396118,0.7775737047195435,00:15
5,2.7340993881225586,2.740248441696167,0.9959725141525269,0.8832607865333557,0.8487406373023987,0.8046173453330994,00:15
6,2.36392879486084,2.5837955474853516,0.9964028596878052,0.8899487257003784,0.8634695410728455,0.8145044445991516,00:15
7,2.2935426235198975,2.558356523513794,0.9964589476585388,0.889211118221283,0.8648633360862732,0.815845787525177,00:15
8,2.386967182159424,2.513200044631958,0.9965208768844604,0.8877392411231995,0.8664431571960449,0.8155579566955566,00:15
9,2.2941994667053223,2.471724033355713,0.9965595602989197,0.8916212320327759,0.8683361411094666,0.8194201588630676,00:15
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.087028741836548,2.5514135360717773,0.9963946342468262,0.8915267586708069,0.8611730337142944,0.815984308719635,00:15
1,2.1837079524993896,2.875936269760132,0.9957102537155151,0.8617287874221802,0.8462265729904175,0.7904141545295715,00:15
2,2.6619246006011963,2.5452232360839844,0.996422290802002,0.8902658224105835,0.8580517768859863,0.8196015357971191,00:15
3,3.179927349090576,4.598455429077148,0.9919821619987488,0.7694838643074036,0.7599907517433167,0.6719406843185425,00:15
4,2.880079746246338,2.999372720718384,0.9961547255516052,0.848055362701416,0.8454949855804443,0.7756982445716858,00:15
5,2.7617297172546387,3.224916934967041,0.996006429195404,0.8229213953018188,0.8407628536224365,0.7523692846298218,00:15
6,2.7616376876831055,3.0679233074188232,0.995766282081604,0.8625484108924866,0.8360227942466736,0.776482105255127,00:15
7,2.3541457653045654,2.819725275039673,0.996100127696991,0.8740875124931335,0.8471274375915527,0.8012428283691406,00:15
8,2.469078779220581,2.859382152557373,0.9962997436523438,0.8613049983978271,0.8541082739830017,0.7877548933029175,00:15
9,2.436615228652954,2.858002185821533,0.996250569820404,0.8595846891403198,0.8518372178077698,0.786817729473114,00:15
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.316403388977051,2.91819429397583,0.9960165023803711,0.8649559020996094,0.8396294713020325,0.7918185591697693,00:15
1,2.859541654586792,3.3235721588134766,0.9959751963615417,0.8431891202926636,0.8162329196929932,0.77369225025177,00:14
2,2.9940967559814453,3.035000801086426,0.9958880543708801,0.855072021484375,0.8342622518539429,0.7825911641120911,00:14
3,2.958275079727173,3.145021915435791,0.9959204196929932,0.8557753562927246,0.8245015144348145,0.7868881821632385,00:15
4,2.9893031120300293,3.0499026775360107,0.9959943294525146,0.8629680871963501,0.8322233557701111,0.7870343327522278,00:15
5,2.653210401535034,2.909867286682129,0.9958728551864624,0.8747168779373169,0.8377570509910583,0.7947155237197876,00:15
6,2.3359146118164062,2.784559965133667,0.9962410926818848,0.8767228722572327,0.8484288454055786,0.79965740442276,00:15
7,2.4767911434173584,2.908921241760254,0.9960795044898987,0.8759533166885376,0.8435351252555847,0.7984542846679688,00:15
8,2.4023797512054443,2.7212321758270264,0.9963216781616211,0.8821311593055725,0.8497041463851929,0.8062945008277893,00:15
9,2.2597479820251465,2.7519431114196777,0.9962598085403442,0.881503701210022,0.8473437428474426,0.8045942187309265,00:15
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.244379758834839,2.9182679653167725,0.9962340593338013,0.875235915184021,0.8419175148010254,0.7955139875411987,00:15
1,2.6928961277008057,3.2226343154907227,0.9956867098808289,0.8503902554512024,0.8256427049636841,0.7726917862892151,00:15
2,2.690991163253784,3.3026089668273926,0.9953754544258118,0.8598009347915649,0.8074257373809814,0.7759937047958374,00:15
3,2.850533962249756,3.0377700328826904,0.9960323572158813,0.8518025279045105,0.8357670903205872,0.7787472009658813,00:15
4,2.736778736114502,3.092647075653076,0.9961369633674622,0.8590930700302124,0.8269011974334717,0.7861786484718323,00:15
5,2.8760831356048584,3.3232169151306152,0.9954052567481995,0.8443145751953125,0.8277209401130676,0.760320246219635,00:15
6,2.681974172592163,3.0056121349334717,0.9959452152252197,0.8624176979064941,0.8260351419448853,0.7896934151649475,00:15
7,2.649596929550171,3.1045429706573486,0.995804488658905,0.8542364835739136,0.8260675072669983,0.7775496244430542,00:15
8,2.5065619945526123,3.094484806060791,0.9958990812301636,0.8520704507827759,0.8268042802810669,0.7781913876533508,00:15
9,2.496413469314575,2.936347484588623,0.9960780739784241,0.861039936542511,0.8404708504676819,0.7870485782623291,00:15
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,7.124079704284668,00:13
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.205639600753784,2.4985287189483643,0.9965081810951233,0.8898186683654785,0.8659558296203613,0.8176268935203552,00:15
1,2.198219060897827,2.5418453216552734,0.9965701103210449,0.8886680603027344,0.8617883324623108,0.8166232705116272,00:15
2,2.1246261596679688,2.5110976696014404,0.996463418006897,0.8886531591415405,0.8659235239028931,0.8162241578102112,00:15
3,2.1036014556884766,2.6574785709381104,0.9964701533317566,0.885330080986023,0.8512207865715027,0.8124387264251709,00:15
4,2.1636130809783936,2.611886978149414,0.9964914917945862,0.8888937830924988,0.8577491641044617,0.8163545727729797,00:15
5,2.178429365158081,2.6099746227264404,0.9964014887809753,0.8826008439064026,0.8601269721984863,0.8096945881843567,00:16
6,2.2060465812683105,2.5926804542541504,0.9964981079101562,0.883551299571991,0.8602710962295532,0.8115943074226379,00:16
7,2.3180975914001465,2.6085948944091797,0.9964519739151001,0.8838046193122864,0.8580848574638367,0.8115653991699219,00:16
8,2.20865535736084,2.6447079181671143,0.9964651465415955,0.8845230937004089,0.8531520962715149,0.8123047947883606,00:16
9,2.1429240703582764,2.6081390380859375,0.9964842200279236,0.8849061131477356,0.8574912548065186,0.8125097751617432,00:16
epoch,train_loss,valid_loss,acc_seg,diceComb,diceLV,diceMY,time
0,2.17578125,2.6638920307159424,0.9964159727096558,0.8850325345993042,0.8505411148071289,0.8124016523361206,00:16
